P87661,F,1982,10
P87003,6,1980,5
P87004,9,1963,13
P87024,Z,1961,6
P87639,J,1983,13
P92623,9,2006,16
P87019,H,1993,478
P87019,h,1993,82
P92007,~,2001,2
P87008,P,1990,109
P91016,3,2005,1
P84049,b,2012,70
P91021,3,2007,31
P87014,Z,1997,43
P87661,.,2004,6
P87620,e,2010,7014
P87620,E,2010,123
P84023,g,2006,1
P87610,M,1960,1
P82023,E,2007,1
P87016,5,2014,7174
P87008,Q,2001,293
P87008,q,2001,5
P87025,o,2000,27
P87025,O,2000,37
P87661,o,2011,25
P87661,O,2011,64
P92637,Z,2003,2
P87040,6,1929,2
P82021,A,2002,24
P91625,T,1993,2
N81075,j,1995,4
P82021,$,2001,1
P91020,4,2007,367
P87620,N,1992,55
P87620,n,1992,6
P88024,c,2000,1
P91604,2,1994,20
P84074,7,1984,1
P84048,g,2010,1
P84025,L,2011,59
Y02790,f,2009,8
Y02790,F,2009,18
P87627,~,1991,45
P87015,f,2007,3998
P87015,F,2007,481
P87661,L,1961,1
P83004,4,1995,2
P87668,S,1957,2
P83001,1,1972,1
W91030,R,2010,1
Y00016,D,2011,1
P91032,8,2008,36
P87654,J,1987,20
P87654,j,1987,3
P92014,m,2009,2
P87040,l,2008,2395
P87040,L,2008,253
Y02767,p,2009,709
Y02767,P,2009,63
P87035,8,1970,1
P87637,B,1986,2
N81075,S,1996,1
N81623,2,2003,14
P92605,9,2005,267
P87642,Z,2003,51
Y02886,A,1990,2
P87660,M,1986,11
P84028,S,1996,1
N81124,E,2004,3
P92605,5,1983,2
P91625,2,2013,157
P83009,G,2010,1
P83009,g,2010,11
P82660,B,1991,2
P87642,d,2008,64
P87642,D,2008,256
P91013,8,1995,1
P87014,F,1967,1
Y02319,O,2010,1
P87617,i,2003,142
P84054,b,2010,6
P84035,P,2003,22
P86004,4,2008,16
P82021,~,2002,1
Y00445,H,1954,3
P87026,6,2014,8586
P84645,3,2010,8
P92637,1,2001,18
P83027,4,2005,67
W91062,B,2001,1
P92023,4,2013,147
P87649,S,1971,1
P83010,E,2007,11
P83010,e,2007,4
P87039,C,2012,267
P87039,c,2012,6229
P92023,F,1999,5
N81020,d,2010,1
P87014,g,2001,675
P87014,G,2001,281
N81033,R,1999,1
P87617,l,2003,59
P87651,0,2014,196
P91006,e,2009,104
P91006,E,2009,14
P82007,3,2001,5
P89017,I,2009,2
P87027,M,1955,1
P82652,T,2012,2
Y02660,I,2003,12
ZZZZ,9,1923,2
Y02520,i,2008,2
ZZZX,P,1970,3
P87036,P,1992,2
P87649,J,1990,30
P87649,j,1990,2
P92623,5,2004,2
P87018,4,1999,1
P82660,A,2002,27
P82660,a,2002,1
P87027,i,1990,191
P87657,9,2013,26450
P87657,G,1975,7
P83017,6,2011,8
P87641,M,1980,5
Y02321,6,1994,9
P91004,S,1999,7
P87019,T,1966,1
P83608,h,2006,9
P83608,H,2006,2
P87627,Y,2004,4
Y03083,C,2003,4
Y03083,c,2003,10
P87660,j,2008,741
P87660,J,2008,298
P91605,B,2008,2
P91026,9,2003,11
P84631,G,2007,5
P82008,L,2002,54
P82008,l,2002,3
P87659,H,1975,3
P83008,Z,2005,1
P87019,K,1996,366
P87019,k,1996,287
P87019,7,1981,137
Y02767,0,2006,71
P87626,C,2004,2
P87626,c,2004,2
Y02622,F,2004,167
Y02622,f,2004,88
P84605,8,2012,2
P87648,j,2010,2
P87648,J,2010,5
P87610,J,1982,19
P91025,8,1999,4
P87649,U,1996,3
N81634,Z,2005,4
P87026,C,1988,2
Y02625,G,1965,16
P83020,7,1999,2
P87018,p,2003,22
P91630,2,2006,26
P87039,6,1955,1
P87016,S,1974,36
P87016,M,1971,14
P91009,Z,2002,6
P87652,F,1998,41
P87652,f,1998,302
P87626,2,2008,32
P91008,9,2004,18
P87032,6,1983,10
Y00445,8,1960,1
NULL,H,2014,49
NULL,h,2014,12
P87630,3,1980,1
Y02625,N,1925,1
P87657,Q,1970,1
P87625,J,2013,46
P87625,j,2013,28
P87637,Z,1981,2
P91014,T,2003,6
P87008,9,1961,2
P87618,6,1987,19
P82007,1,2012,94
P84673,T,2000,1
P87668,6,2013,2317
P83007,M,2005,2
P87625,B,1976,1
P87659,L,1986,2
P87026,H,1959,4
ZZZZ,8,1970,2
P84678,M,2009,1
P87019,1,1970,23
P87040,6,2012,16497
P87658,U,1999,13
P92029,M,2009,3
P82652,S,1998,5
C82034,6,1998,1
P87025,8,2007,8071
P87032,p,1998,176
P87032,P,1998,44
P92637,B,2008,6
P92637,b,2008,29
P87634,S,1978,26
P87039,8,1988,8
P84046,H,2010,26
P82007,V,2013,1
P91008,m,2002,16
P91008,M,2002,2
N81628,R,2007,2
P87637,G,1985,2
P89017,H,1998,1
P87651,R,2009,188
P87016,G,1935,1
P87020,l,1998,251
P87020,L,1998,15
P82627,H,1998,2
P87028,A,2014,14129
P87028,a,2014,66
P87024,8,1967,2
P83605,6,1995,6
P82001,U,2007,1
P87019,i,2004,3881
P87019,I,2004,65
P87008,O,2001,1690
P87008,o,2001,1
P87613,R,2012,1352
P87019,M,1949,1
P87641,C,1990,5
P87004,K,1988,13
P87040,1,1954,5
P91012,P,2000,6
Y02321,E,1899,6
P87648,9,2010,61
P87019,9,1994,1564
P87660,T,2003,25
P91629,T,1999,1
P84019,R,2004,2
P87040,5,1976,57
P87028,E,1959,3
P91036,Z,2008,1
P87022,6,2000,1386
N81634,b,2010,301
P92002,R,2006,5
P92042,L,2011,7
P83001,N,2000,6
N81007,H,2014,1
P82607,5,2010,2
P87661,N,1975,4
P84645,g,2007,8
P84645,G,2007,4
P87657,S,2014,215
P87657,s,2014,61
P83025,H,2005,23
P83025,h,2005,5
P87027,U,2003,108
P87028,M,2018,1
P87019,5,1972,29
ZZZX,W,1996,543
P87040,C,2006,1084
P87040,c,2006,12531
P87040,R,2000,138
P87618,e,1995,12
P87618,E,1995,12
P87661,q,2011,74
P87661,Q,2011,12
P87620,f,1999,879
P87620,F,1999,187
P87645,S,1965,2
